,DateTime,Junction,Vehicles,Year,Month,Day,Hour,WeekDay
0,2015-11-01 00:00:00,1,15,2015,11,1,0,6
1,2015-11-01 01:00:00,1,13,2015,11,1,1,6
2,2015-11-01 02:00:00,1,10,2015,11,1,2,6
3,2015-11-01 03:00:00,1,7,2015,11,1,3,6
4,2015-11-01 04:00:00,1,9,2015,11,1,4,6
5,2015-11-01 05:00:00,1,6,2015,11,1,5,6
6,2015-11-01 06:00:00,1,9,2015,11,1,6,6
7,2015-11-01 07:00:00,1,8,2015,11,1,7,6
8,2015-11-01 08:00:00,1,11,2015,11,1,8,6
9,2015-11-01 09:00:00,1,12,2015,11,1,9,6
10,2015-11-01 10:00:00,1,15,2015,11,1,10,6
11,2015-11-01 11:00:00,1,17,2015,11,1,11,6
12,2015-11-01 12:00:00,1,16,2015,11,1,12,6
13,2015-11-01 13:00:00,1,15,2015,11,1,13,6
14,2015-11-01 14:00:00,1,16,2015,11,1,14,6
15,2015-11-01 15:00:00,1,12,2015,11,1,15,6
16,2015-11-01 16:00:00,1,12,2015,11,1,16,6
17,2015-11-01 17:00:00,1,16,2015,11,1,17,6
18,2015-11-01 18:00:00,1,17,2015,11,1,18,6
19,2015-11-01 19:00:00,1,20,2015,11,1,19,6
20,2015-11-01 20:00:00,1,17,2015,11,1,20,6
21,2015-11-01 21:00:00,1,19,2015,11,1,21,6
22,2015-11-01 22:00:00,1,20,2015,11,1,22,6
23,2015-11-01 23:00:00,1,15,2015,11,1,23,6
24,2015-11-02 00:00:00,1,14,2015,11,2,0,0
25,2015-11-02 01:00:00,1,12,2015,11,2,1,0
26,2015-11-02 02:00:00,1,14,2015,11,2,2,0
27,2015-11-02 03:00:00,1,12,2015,11,2,3,0
28,2015-11-02 04:00:00,1,12,2015,11,2,4,0
29,2015-11-02 05:00:00,1,11,2015,11,2,5,0
30,2015-11-02 06:00:00,1,13,2015,11,2,6,0
31,2015-11-02 07:00:00,1,14,2015,11,2,7,0
32,2015-11-02 08:00:00,1,12,2015,11,2,8,0
33,2015-11-02 09:00:00,1,22,2015,11,2,9,0
34,2015-11-02 10:00:00,1,32,2015,11,2,10,0
35,2015-11-02 11:00:00,1,31,2015,11,2,11,0
36,2015-11-02 12:00:00,1,35,2015,11,2,12,0
37,2015-11-02 13:00:00,1,26,2015,11,2,13,0
38,2015-11-02 14:00:00,1,34,2015,11,2,14,0
39,2015-11-02 15:00:00,1,30,2015,11,2,15,0
40,2015-11-02 16:00:00,1,27,2015,11,2,16,0
41,2015-11-02 17:00:00,1,27,2015,11,2,17,0
42,2015-11-02 18:00:00,1,24,2015,11,2,18,0
43,2015-11-02 19:00:00,1,26,2015,11,2,19,0
44,2015-11-02 20:00:00,1,29,2015,11,2,20,0
45,2015-11-02 21:00:00,1,32,2015,11,2,21,0
46,2015-11-02 22:00:00,1,30,2015,11,2,22,0
47,2015-11-02 23:00:00,1,27,2015,11,2,23,0
48,2015-11-03 00:00:00,1,21,2015,11,3,0,1
49,2015-11-03 01:00:00,1,18,2015,11,3,1,1
50,2015-11-03 02:00:00,1,19,2015,11,3,2,1
51,2015-11-03 03:00:00,1,13,2015,11,3,3,1
52,2015-11-03 04:00:00,1,11,2015,11,3,4,1
53,2015-11-03 05:00:00,1,11,2015,11,3,5,1
54,2015-11-03 06:00:00,1,11,2015,11,3,6,1
55,2015-11-03 07:00:00,1,14,2015,11,3,7,1
56,2015-11-03 08:00:00,1,15,2015,11,3,8,1
57,2015-11-03 09:00:00,1,29,2015,11,3,9,1
58,2015-11-03 10:00:00,1,33,2015,11,3,10,1
59,2015-11-03 11:00:00,1,32,2015,11,3,11,1
60,2015-11-03 12:00:00,1,32,2015,11,3,12,1
61,2015-11-03 13:00:00,1,29,2015,11,3,13,1
62,2015-11-03 14:00:00,1,27,2015,11,3,14,1
63,2015-11-03 15:00:00,1,26,2015,11,3,15,1
64,2015-11-03 16:00:00,1,28,2015,11,3,16,1
65,2015-11-03 17:00:00,1,26,2015,11,3,17,1
66,2015-11-03 18:00:00,1,25,2015,11,3,18,1
67,2015-11-03 19:00:00,1,29,2015,11,3,19,1
68,2015-11-03 20:00:00,1,26,2015,11,3,20,1
69,2015-11-03 21:00:00,1,24,2015,11,3,21,1
70,2015-11-03 22:00:00,1,25,2015,11,3,22,1
71,2015-11-03 23:00:00,1,20,2015,11,3,23,1
72,2015-11-04 00:00:00,1,18,2015,11,4,0,2
73,2015-11-04 01:00:00,1,18,2015,11,4,1,2
74,2015-11-04 02:00:00,1,13,2015,11,4,2,2
75,2015-11-04 03:00:00,1,13,2015,11,4,3,2
76,2015-11-04 04:00:00,1,10,2015,11,4,4,2
77,2015-11-04 05:00:00,1,12,2015,11,4,5,2
78,2015-11-04 06:00:00,1,13,2015,11,4,6,2
79,2015-11-04 07:00:00,1,11,2015,11,4,7,2
80,2015-11-04 08:00:00,1,13,2015,11,4,8,2
81,2015-11-04 09:00:00,1,22,2015,11,4,9,2
82,2015-11-04 10:00:00,1,26,2015,11,4,10,2
83,2015-11-04 11:00:00,1,27,2015,11,4,11,2
84,2015-11-04 12:00:00,1,31,2015,11,4,12,2
85,2015-11-04 13:00:00,1,24,2015,11,4,13,2
86,2015-11-04 14:00:00,1,23,2015,11,4,14,2
87,2015-11-04 15:00:00,1,26,2015,11,4,15,2
88,2015-11-04 16:00:00,1,26,2015,11,4,16,2
89,2015-11-04 17:00:00,1,24,2015,11,4,17,2
90,2015-11-04 18:00:00,1,23,2015,11,4,18,2
91,2015-11-04 19:00:00,1,25,2015,11,4,19,2
92,2015-11-04 20:00:00,1,26,2015,11,4,20,2
93,2015-11-04 21:00:00,1,24,2015,11,4,21,2
94,2015-11-04 22:00:00,1,26,2015,11,4,22,2
95,2015-11-04 23:00:00,1,24,2015,11,4,23,2
